MPG,CYLINDERS,SIZE,HP,WEIGHT,ENG_TYPE
16.9,8,350,155,4.36,1
15.5,8,351,,4.054,1
19.2,8,267,125,3.605,1
18.5,8,360,150,3.94,1
30,4,98,68,2.155,0
27.5,4,134,95,2.56,0
27.2,4,119,97,2.3,0
30.9,4,105,75,2.23,
20.3,5,131,,2.83,0
17,6,163,125,3.14,0
21.6,,121,115,2.795,0
16.2,6,,133,3.41,0
20.6,,231,105,3.38,0
20.8,6,200,85,,0
18.6,6,225,110,3.62,0
18.1,,258,120,3.41,0
17,,305,130,,1
17.6,8,302,129,3.725,
16.5,8,351,138,3.955,1
18.2,8,318,135,3.83,1
26.5,4,140,,2.585,0
21.9,6,171,,2.91,1
34.1,4,86,65,,0
35.1,4,98,80,1.915,0
27.4,4,121,,2.67,0
31.5,4,89,71,1.99,0
29.5,4,98,68,,0
28.4,4,151,90,2.67,0
28.8,6,173,115,2.595,1
26.8,6,173,115,2.7,1
33.5,4,151,90,2.556,0
34.2,4,105,70,2.2,0
31.8,4,85,65,2.02,
37.3,4,91,69,2.13,0
30.5,4,,78,,0
22,6,,97,2.815,0
21.5,4,121,110,,0
31.9,4,89,71,1.925,0
